District,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Old Toronto,Lawrence Park,43.729199,-79.40325250000001,0,Bakery,Coffee Shop,Italian Restaurant,Sushi Restaurant,Asian Restaurant,Bank,Grocery Store,Sandwich Place,Burger Joint,Tea Room
Old Toronto,Lytton Park,43.715998600000006,-79.412291,2,Skating Rink,Playground,Garden,Zoo,Fast Food Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
Old Toronto,Midtown,43.70573579999999,-79.39756691740921,4,Coffee Shop,Italian Restaurant,Sushi Restaurant,Café,Fast Food Restaurant,Restaurant,Gym,Pizza Place,Indian Restaurant,Mexican Restaurant
Old Toronto,Moore Park,43.6903876,-79.3832965,2,Park,Grocery Store,Japanese Restaurant,Thai Restaurant,Gym,Sandwich Place,Café,Bank,Playground,Filipino Restaurant
Old Toronto,North Toronto,43.6465466,-79.41952629999999,1,Bar,Café,Restaurant,Cocktail Bar,Bakery,Asian Restaurant,Coffee Shop,Italian Restaurant,Gift Shop,Theater
Old Toronto,Rosedale,43.6783556,-79.3807457,2,Park,Trail,Japanese Restaurant,Bank,Office,BBQ Joint,Sandwich Place,Athletics & Sports,Coffee Shop,Bar
Old Toronto,South Hill,43.6779261,-79.40576709999999,0,Coffee Shop,Sandwich Place,Park,Café,Jewish Restaurant,Pizza Place,Mexican Restaurant,History Museum,French Restaurant,Italian Restaurant
Old Toronto,Summerhill,43.6816776,-79.3905037,0,Italian Restaurant,Park,Café,Coffee Shop,Spa,Sushi Restaurant,Bakery,French Restaurant,Pizza Place,Vegetarian / Vegan Restaurant
Old Toronto,Wanless Park,43.7289408,-79.39202744989309,2,Bus Line,Pool,Swim School,Park,Business Service,Field,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant
Old Toronto,Wychwood Park,43.677743,-79.42018497794459,0,Coffee Shop,Bakery,Burger Joint,Ice Cream Shop,Pizza Place,Café,Fast Food Restaurant,Dessert Shop,Italian Restaurant,Bar
Old Toronto,Yonge–Eglinton,43.706747899999996,-79.39832709999999,4,Coffee Shop,Italian Restaurant,Pizza Place,Sushi Restaurant,Restaurant,Fast Food Restaurant,Café,Burger Joint,Gym,Mexican Restaurant
Old Toronto,Beaconsfield Village,43.64818851090662,-79.42759982018626,1,Bar,Café,Bakery,Coffee Shop,Cocktail Bar,Italian Restaurant,Vietnamese Restaurant,Asian Restaurant,Vegetarian / Vegan Restaurant,Restaurant
Old Toronto,Bloor West Village,43.6493184,-79.4844358,0,Café,Coffee Shop,Pizza Place,Bakery,Italian Restaurant,Falafel Restaurant,Park,Dessert Shop,Pub,Gastropub
Old Toronto,Bracondale Hill,43.6761247,-79.4279997,0,Italian Restaurant,Bakery,Mexican Restaurant,Café,Coffee Shop,Bar,Burger Joint,Sushi Restaurant,Indian Restaurant,Grocery Store
Old Toronto,Brockton Village,43.650917299999996,-79.4400216,0,Coffee Shop,Vietnamese Restaurant,Bar,Bakery,Clothing Store,Restaurant,Grocery Store,Brewery,Fast Food Restaurant,Park
Old Toronto,Carleton Village,43.6707205,-79.4532778,0,Café,Italian Restaurant,Vietnamese Restaurant,Fish Market,Gym,Bakery,Brazilian Restaurant,Bank,Bar,Latin American Restaurant
Old Toronto,Corso Italia,43.677954,-79.4430828,0,Italian Restaurant,Convenience Store,Breakfast Spot,Café,Pizza Place,Coffee Shop,Light Rail Station,Mexican Restaurant,Bus Stop,Sandwich Place
Old Toronto,Davenport,43.6715614,-79.4482927,0,Italian Restaurant,Bakery,Café,Coffee Shop,Gym,Pharmacy,Bank,Supermarket,Liquor Store,Dog Run
Old Toronto,Dovercourt Park,43.6651844,-79.433504844005,1,Bar,Bakery,Coffee Shop,Café,Pet Store,Middle Eastern Restaurant,Juice Bar,Beer Bar,Restaurant,Pharmacy
Old Toronto,Dufferin Grove,43.65363189999999,-79.42643890000001,1,Bar,Coffee Shop,Bakery,Vegetarian / Vegan Restaurant,Café,Restaurant,Italian Restaurant,Asian Restaurant,Wine Bar,Japanese Restaurant
Old Toronto,Earlscourt,43.676277299999995,-79.4505723,0,Italian Restaurant,Brazilian Restaurant,Bakery,Convenience Store,Coffee Shop,Mexican Restaurant,Bank,Sushi Restaurant,Fried Chicken Joint,Mediterranean Restaurant
Old Toronto,Fort York,43.6386801,-79.4035012349971,4,Park,Coffee Shop,Italian Restaurant,Restaurant,Café,Diner,Pub,Bakery,Speakeasy,Bar
Old Toronto,High Park,43.64628135,-79.4638213811953,2,Dog Run,Zoo,Lake,Playground,Park,Outdoors & Recreation,Scenic Lookout,Other Great Outdoors,Castle,Café
Old Toronto,The Junction,43.6654775,-79.470352,0,Coffee Shop,Bar,Café,Italian Restaurant,Bakery,Thai Restaurant,Furniture / Home Store,Nail Salon,Pharmacy,Electronics Store
Old Toronto,Junction Triangle,43.65789885,-79.44804324226129,1,Bar,Café,Coffee Shop,Pub,Brewery,Pizza Place,Bakery,Sandwich Place,Breakfast Spot,Art Gallery
Old Toronto,Koreatown,43.663556400000004,-79.4184157,3,Korean Restaurant,Coffee Shop,Café,Japanese Restaurant,Grocery Store,Cocktail Bar,Indian Restaurant,Ethiopian Restaurant,Bakery,Ice Cream Shop
Old Toronto,Liberty Village,43.6388951,-79.41795309999999,1,Coffee Shop,Café,Restaurant,Bar,Furniture / Home Store,Men's Store,Art Gallery,Vegetarian / Vegan Restaurant,Gift Shop,Theater
Old Toronto,Little Italy,43.65520789999999,-79.41487690000001,1,Bar,Italian Restaurant,Café,Coffee Shop,Breakfast Spot,Asian Restaurant,Sandwich Place,Dessert Shop,Art Gallery,Cocktail Bar
Old Toronto,Little Portugal,43.64741325,-79.43111632546051,1,Bar,Coffee Shop,Café,Bakery,Vegetarian / Vegan Restaurant,Cocktail Bar,Restaurant,Lounge,French Restaurant,Italian Restaurant
Old Toronto,Little Tibet,43.6389445,-79.4273119,1,Café,Bar,Coffee Shop,Restaurant,Furniture / Home Store,Bakery,Vegetarian / Vegan Restaurant,Sandwich Place,Caribbean Restaurant,Mexican Restaurant
Old Toronto,Mirvish Village,43.6651321,-79.41120500000001,3,Korean Restaurant,Pizza Place,Coffee Shop,Grocery Store,Restaurant,Bakery,Japanese Restaurant,Café,Sushi Restaurant,Ice Cream Shop
Old Toronto,Niagara,43.6434701,-79.4082484,4,Café,Italian Restaurant,Coffee Shop,Bakery,Restaurant,Spa,Furniture / Home Store,Men's Store,Yoga Studio,Gift Shop
Old Toronto,Palmerston,43.6558643,-79.41012020000001,1,Café,Bar,Vegetarian / Vegan Restaurant,Italian Restaurant,Bakery,Burger Joint,Sandwich Place,Comfort Food Restaurant,Asian Restaurant,Breakfast Spot
Old Toronto,Parkdale,43.6371777,-79.43600450000001,0,Bar,Café,Tibetan Restaurant,Thrift / Vintage Store,Pharmacy,Diner,Bakery,Park,Sandwich Place,Indian Restaurant
Old Toronto,Roncesvalles,43.6514426,-79.45103809999999,0,Bar,Coffee Shop,Pizza Place,Pub,Thai Restaurant,Restaurant,Breakfast Spot,Brewery,Sushi Restaurant,Gourmet Shop
Old Toronto,Runnymede,43.6655802,-79.4821078,2,Coffee Shop,Pizza Place,Sandwich Place,Café,Park,Grocery Store,Fried Chicken Joint,Gym / Fitness Center,Skating Rink,BBQ Joint
Old Toronto,Seaton Village,43.6692756,-79.4159596,3,Korean Restaurant,Grocery Store,Coffee Shop,Café,Japanese Restaurant,Park,Ice Cream Shop,Restaurant,Tea Room,Sandwich Place
Old Toronto,Swansea,43.644940000000005,-79.478313,0,Café,Coffee Shop,Pizza Place,Bakery,Falafel Restaurant,Pub,Gastropub,Italian Restaurant,Dessert Shop,Sushi Restaurant
Old Toronto,Trinity–Bellwoods,43.64756465,-79.4138809026667,1,Bar,Pizza Place,Restaurant,Café,Coffee Shop,Italian Restaurant,Asian Restaurant,Cocktail Bar,Bakery,Men's Store
Old Toronto,Wallace Emerson,43.6667328,-79.4464779,0,Café,Coffee Shop,Park,Portuguese Restaurant,Pharmacy,Gym,Supermarket,Bar,Beer Store,Bakery
East York,Broadview North,43.6839242,-79.3569642,2,Café,Business Service,Farmers Market,Bank,Grocery Store,Scenic Lookout,Discount Store,Theater,Historic Site,Other Great Outdoors
