District,Neighbourhood,Location,Latitude,Longitude
Scarborough,Morningside Heights,"Morningside Heights, Scarborough, Toronto, CANADA",43.8237001,-79.2241521
Scarborough,Oakridge,"Oakridge, Scarborough, Toronto, CANADA",43.6971738,-79.2748232
Scarborough,Port Union,"Port Union, Scarborough, Toronto, CANADA",43.7755039,-79.1349765
Scarborough,Rouge,"Rouge, Scarborough, Toronto, CANADA",43.8049304,-79.1658374
Scarborough,Scarborough City Centre,"Scarborough City Centre, Scarborough, Toronto, CANADA",43.773077,-79.257774
Scarborough,Scarborough Junction,"Scarborough Junction, Scarborough, Toronto, CANADA",43.7160494,-79.2607028
Scarborough,Scarborough Village,"Scarborough Village, Scarborough, Toronto, CANADA",43.7437422,-79.2116324
Scarborough,Steeles,"Steeles, Scarborough, Toronto, CANADA",43.8161778,-79.3145378
Scarborough,Tam O'Shanter – Sullivan,"Tam O'Shanter – Sullivan, Scarborough, Toronto, CANADA",43.7825118,-79.3093953
Scarborough,West Hill,"West Hill, Scarborough, Toronto, CANADA",43.7689144,-79.1872905
Scarborough,West Rouge,"West Rouge, Scarborough, Toronto, CANADA",43.7859631,-79.1307556
Scarborough,Wexford,"Wexford, Scarborough, Toronto, CANADA",43.7453767,-79.2947155
Scarborough,Woburn,"Woburn, Scarborough, Toronto, CANADA",43.7598243,-79.2252908
York,Baby Point,"Baby Point, York, Toronto, CANADA",43.6558741,-79.4964941
York,Briar Hill–Belgravia,"Briar Hill–Belgravia, York, Toronto, CANADA",43.69852000000003,-79.45124999999996
York,Eglinton West,"Eglinton West, York, Toronto, CANADA",43.6991044,-79.4361058
York,Fairbank,"Fairbank, York, Toronto, CANADA",43.695689,-79.4503097
York,Humewood–Cedarvale,"Humewood–Cedarvale, York, Toronto, CANADA",43.68942000000004,-79.42697999999996
York,Lambton,"Lambton, York, Toronto, CANADA",43.6658675,-79.4992242
York,Mount Dennis,"Mount Dennis, York, Toronto, CANADA",43.6869597,-79.4895513
York,Oakwood–Vaughan,"Oakwood–Vaughan, York, Toronto, CANADA",43.6916811,-79.4399097
York,Old Mill,"Old Mill, York, Toronto, CANADA",43.6513012,-79.4954753
York,Rockcliffe–Smythe,"Rockcliffe–Smythe, York, Toronto, CANADA",43.67528000000004,-79.48864999999995
York,Silverthorn,"Silverthorn, York, Toronto, CANADA",43.682123,-79.4715724
York,Tichester,"Tichester, York, Toronto, CANADA",43.6855019,-79.4187307
York,Weston,"Weston, York, Toronto, CANADA",43.7001608,-79.5162474
